reaction_id,overall_two,numCorrect_two,overall_one,numCorrect_one,overall_zero,numCorrect_zero
R-HSA-8982163,0.0,0,0.0,0,0.0,0
R-HSA-8983394,0.0,0,0.0,0,0.0,0
R-HSA-8985123,0.0,0,0.0,0,0.0,0
R-HSA-8986258,0.0,0,0.0,0,0.0,0
R-HSA-8987105,0.0,0,0.0,0,0.8571428571428571,6
R-HSA-9006325,0.0,0,0.0,0,0.0,0
R-HSA-9007591,0.0,0,0.0,0,0.0,0
R-HSA-9008267,0.0,0,0.0,0,0.0,0
R-HSA-9009227,0.0,0,0.0,0,0.0,0
R-HSA-9010096,0.0,0,0.0,0,0.0,0
R-HSA-9011143,0.0,0,0.0,0,1.0,1
R-HSA-9012186,0.0,0,0.0,0,1.0,1
R-HSA-9013108,0.25,1,0.0,0,0.0,0
R-HSA-9013889,0.0,0,0.0,0,0.0,0
R-HSA-9014627,0.0,0,0.0,0,0.0,0
R-HSA-9018017,0.0,0,0.0,0,0.0,0
R-HSA-9018807,0.6666666666666666,2,0.3333333333333333,1,0.6666666666666666,2
R-HSA-9020264,0.0,0,0.0,0,0.0,0
R-HSA-9021478,0.0,0,0.0,0,1.0,1
R-HSA-9022359,0.0,0,0.0,0,0.2,1
R-HSA-9023538,0.0,0,0.0,0,0.0,0
R-HSA-9024766,0.4,2,0.4,2,0.2,1
R-HSA-9026531,0.0,0,0.0,0,0.0,0
R-HSA-9028505,0.0,0,0.0,0,0.0,0
R-HSA-9031512,0.0,0,0.0,0,1.0,1
R-HSA-9033238,0.0,0,0.0,0,0.4,4
R-HSA-9034539,0.0,0,0.0,0,0.0,0
R-HSA-9036987,0.5,1,1.0,2,0.5,1
R-HSA-912389,0.0,0,0.0,0,0.0,0
R-HSA-913675,0.0476190476190476,1,0.0476190476190476,1,0.0,0
R-HSA-917891,1.0,2,0.5,1,1.0,2
R-HSA-933536,0.25,1,0.25,1,0.25,1
R-HSA-937029,0.0,0,0.0,0,0.0,0
R-HSA-9603445,1.0,2,0.5,1,0.5,1
R-HSA-9604480,0.0,0,0.0,0,0.0,0
R-HSA-9605644,0.5,1,0.5,1,0.5,1
R-HSA-9609740,0.0,0,0.0,0,0.0,0
R-HSA-9610942,0.0,0,0.0,0,0.0,0
R-HSA-9612493,0.0,0,0.0,0,1.0,1
R-HSA-9613565,0.0,0,0.0,0,0.0,0
R-HSA-9615023,0.0,0,0.0,0,1.0,1
R-HSA-9617087,0.0,0,0.0,0,0.0,0
R-HSA-9618392,0.0,0,0.0,0,0.0,0
R-HSA-9619657,0.0,0,0.0,0,0.0,0
R-HSA-9621054,0.0,0,0.0,0,0.0,0
R-HSA-9622840,0.0,0,0.0,0,0.0,0
R-HSA-9624365,0.0,0,0.0,0,0.0,0
R-HSA-9625465,1.0,1,1.0,1,1.0,1
R-HSA-9626914,0.0,0,0.0,0,0.0,0
R-HSA-9629483,0.0,0,0.0,0,0.0,0
R-HSA-9631296,0.1666666666666666,1,0.1666666666666666,1,0.0,0
R-HSA-9634446,0.0,0,0.0,0,0.0,0
R-HSA-9635996,0.0,0,0.0,0,0.0,0
R-HSA-9638075,0.0,0,0.0,0,0.0,0
R-HSA-9640480,0.0,0,0.1428571428571428,1,0.0,0
R-HSA-9647999,0.0,0,0.25,1,1.0,4
R-HSA-9650710,0.0,0,0.0,0,0.0,0
R-HSA-9654752,0.0,0,0.0,0,0.3333333333333333,1
